DATE,FED,BOE,BOC
12/08/2021,0.08,0.1,0.5
12/15/2021,0.08,0.1,0.5
12/22/2021,0.08,0.25,0.5
12/29/2021,0.08,0.25,0.5
01/05/2022,0.08,0.25,0.5
01/12/2022,0.08,0.25,0.5
01/19/2022,0.08,0.25,0.5
01/26/2022,0.08,0.25,0.5
02/02/2022,0.08,0.25,0.5
02/09/2022,0.08,0.5,0.5
02/16/2022,0.08,0.5,0.5
02/23/2022,0.08,0.5,0.5
03/02/2022,0.08,0.5,0.5
03/09/2022,0.08,0.5,0.75
03/16/2022,0.08,0.5,0.75
03/23/2022,0.33,0.75,0.75
03/30/2022,0.33,0.75,0.75
04/06/2022,0.33,0.75,0.75
04/13/2022,0.33,0.75,0.75
04/20/2022,0.33,0.75,1.25
04/27/2022,0.33,0.75,1.25
05/04/2022,0.33,0.75,1.25
05/11/2022,0.83,1,1.25
05/18/2022,0.83,1,1.25
05/25/2022,0.83,1,1.25
06/01/2022,0.83,1,1.25
06/08/2022,0.83,1,1.75
06/15/2022,0.83,1,1.75
06/22/2022,1.58,1.25,1.75
06/29/2022,1.58,1.25,1.75
07/06/2022,1.58,1.25,1.75
07/13/2022,1.58,1.25,1.75
07/20/2022,1.58,1.25,2.75
07/27/2022,1.58,1.25,2.75
08/03/2022,2.33,1.25,2.75
08/10/2022,2.33,1.75,2.75
08/17/2022,2.33,1.75,2.75
08/24/2022,2.33,1.75,2.75
08/31/2022,2.33,1.75,2.75
09/07/2022,2.33,1.75,2.75
09/14/2022,2.33,1.75,3.5
09/21/2022,2.33,1.75,3.5
09/28/2022,3.08,2.25,3.5
10/05/2022,3.08,2.25,3.5
10/12/2022,3.08,2.25,3.5
10/19/2022,3.08,2.25,3.5
10/26/2022,3.08,2.25,3.5
11/02/2022,3.08,2.25,4
11/09/2022,3.83,3,4
11/16/2022,3.83,3,4
11/23/2022,3.83,3,4
11/30/2022,3.83,3,4
12/07/2022,3.83,3,4
12/14/2022,3.83,3,4.5
12/21/2022,4.33,3.5,4.5
12/28/2022,4.33,3.5,4.5
