Date,Open,High,Low,Close,DXY_Change,Open,High,Low,Close,USDJPY_Change
16/07/2017,95.099998,95.349998,93.849998,93.940002,-1.22,112.494003,112.848,111.095001,111.120003,-1.221
23/07/2017,93.949997,94.290001,93.150002,93.260002,-0.73,111.120003,112.142998,110.627998,110.660004,-0.414
30/07/2017,93.360001,93.769997,92.550003,93.540001,0.19,110.660004,111.019997,109.863998,110.741974,0.074
06/08/2017,93.5,93.889999,92.93,93.07,-0.46,110.695,110.903,108.796997,109.18,-1.369
13/08/2017,93.089996,94.150002,93.050003,93.43,0.37,109.18,110.941002,108.605003,109.209999,0.027
20/08/2017,93.43,93.629997,92.419998,92.739998,-0.74,109.209999,109.806,108.633003,109.440002,0.211
27/08/2017,92.360001,93.349998,91.620003,92.809998,0.49,109.440002,110.644997,108.328003,110.25,0.740
03/09/2017,92.660004,92.730003,91.010002,91.330002,-1.44,110.25,110.25,107.321999,107.82,-2.204
10/09/2017,91.860001,92.660004,91.419998,91.870003,0.01,107.82,111.320999,107.82,110.864746,2.824
17/09/2017,91.93,92.699997,91.529999,92.169998,0.26,110.839996,112.707001,110.82,111.982086,1.030
24/09/2017,92.32,93.669998,92.209999,93.080002,0.82,111.978996,113.237,111.499001,112.994347,0.907
01/10/2017,93.290001,94.269997,93.120003,93.800003,0.55,112.459,113.431,112.325996,112.639999,0.161
08/10/2017,93.769997,93.839996,92.75,93.089996,-0.73,112.639999,112.820999,111.698997,112.238998,-0.356
15/10/2017,93.07,93.800003,93.059998,93.699997,0.68,111.82,113.561996,111.651001,112.68,0.769
22/10/2017,93.839996,95.150002,93.480003,94.919998,1.15,113.519997,114.435997,113.262001,114.124001,0.532
29/10/2017,94.790001,95.019997,94.410004,94.940002,0.16,113.660004,114.406998,112.973999,114.015999,0.313
05/11/2017,94.870003,95.150002,94.260002,94.389999,-0.51,114.07,114.724998,113.236,113.519997,-0.482
12/11/2017,94.410004,94.639999,93.400002,93.660004,-0.79,113.519997,113.906998,111.973,112.07,-1.277
19/11/2017,93.709999,94.169998,92.68,92.760002,-1.01,112.080002,112.699997,111.070999,111.508003,-0.510
26/11/2017,92.690002,93.510002,92.5,92.900002,0.23,111.540001,112.851997,110.847,112.099998,0.502
03/12/2017,93.220001,94.089996,93.040001,93.900002,0.73,112.105003,113.584999,112.007004,113.470001,1.218
10/12/2017,93.919998,94.220001,93.279999,93.93,0.01,113.480003,113.738998,112.042999,112.396004,-0.955
17/12/2017,93.980003,94.029999,93.160004,93.349998,-0.67,112.580002,113.614998,112.329002,113.260002,0.604
