date,Open,High,Low,Close,Return (%),Security
07/02/2012,79.07,79.519997,78.360001,79.110001,0.05,DXY
14/02/2012,78.830002,80.110001,78.599998,79.330002,0.63,DXY
21/02/2012,79.120003,79.379997,78.220001,78.349998,-0.98,DXY
28/02/2012,78.389999,79.449997,78.089996,79.400002,1.27,DXY
06/03/2012,79.459999,80.059998,79.07,80.040001,0.72,DXY
13/03/2012,79.980003,80.730003,79.669998,79.779999,-0.25,DXY
20/03/2012,79.760002,79.940002,79.209999,79.339996,-0.53,DXY
27/03/2012,79.32,79.720001,78.720001,78.93,-0.49,DXY
03/04/2012,78.809998,80.169998,78.660004,80.07,1.57,DXY
10/04/2012,79.900002,80.089996,79.199997,79.879997,-0.03,DXY
17/04/2012,79.900002,80.169998,79.120003,79.18,-0.91,DXY
24/04/2012,79.239998,79.639999,78.669998,78.699997,-0.69,DXY
01/05/2012,78.769997,79.519997,78.599998,79.470001,0.88,DXY
08/05/2012,79.910004,80.330002,79.5,80.279999,0.46,DXY
15/05/2012,80.410004,81.75,80.220001,81.290001,1.08,DXY
22/05/2012,81.220001,82.459999,80.889999,82.400002,1.43,DXY
29/05/2012,82.239998,83.540001,82.029999,82.889999,0.78,DXY
05/06/2012,82.470001,83.07,81.910004,82.510002,0.05,DXY
12/06/2012,81.849998,82.720001,81.480003,81.589996,-0.32,DXY
19/06/2012,81.309998,82.459999,81.160004,82.220001,1.11,DXY
26/06/2012,82.339996,82.870003,81.43,81.650002,-0.85,DXY
03/07/2012,81.639999,83.43,81.510002,83.290001,1.98,DXY
10/07/2012,83.330002,83.82,82.970001,83.300003,-0.04,DXY
17/07/2012,83.25,83.639999,82.730003,83.470001,0.26,DXY
24/07/2012,83.660004,84.099998,82.339996,82.709999,-1.15,DXY
31/07/2012,82.690002,83.510002,82.199997,82.379997,-0.38,DXY
07/08/2012,82.330002,82.870003,82.040001,82.550003,0.27,DXY
14/08/2012,82.580002,82.879997,82.199997,82.599998,0.02,DXY
21/08/2012,82.589996,82.720001,81.220001,81.589996,-1.23,DXY
28/08/2012,81.57,81.82,80.959999,81.25,-0.39,DXY
04/09/2012,81.239998,81.669998,80.150002,80.25,-1.23,DXY
11/09/2012,80.169998,80.43,78.599998,78.849998,-1.67,DXY
18/09/2012,78.870003,79.660004,78.720001,79.330002,0.58,DXY
