Security ,date,Return 
DXY,13/01/2004,2.47
DXY,20/01/2004,-0.47
DXY,27/01/2004,0.32
DXY,03/02/2004,-1.75
DXY,10/02/2004,-0.62
DXY,17/02/2004,1.84
DXY,24/02/2004,0.55
DXY,02/03/2004,0.55
DXY,09/03/2004,0.92
DXY,16/03/2004,-1.13
DXY,23/03/2004,0.93
DXY,30/03/2004,0.67
DXY,06/04/2004,-0.3
DXY,13/04/2004,0.96
DXY,20/04/2004,0.91
DXY,27/04/2004,0.15
DXY,04/05/2004,0.88
DXY,11/05/2004,-0.61
DXY,18/05/2004,-0.57
DXY,25/05/2004,-1.69
DXY,01/06/2004,-0.79
DXY,08/06/2004,1.92
DXY,15/06/2004,-0.72
DXY,22/06/2004,-0.64
DXY,29/06/2004,-0.55
DXY,06/07/2004,-0.95
DXY,13/07/2004,-0.24
DXY,20/07/2004,2.12
DXY,27/07/2004,0.81
DXY,03/08/2004,-1.52
DXY,10/08/2004,-0.49
DXY,17/08/2004,1.25
DXY,24/08/2004,0.71
DXY,31/08/2004,-0.18
DXY,07/09/2004,-1.09
DXY,14/09/2004,0.5
DXY,21/09/2004,-0.79
DXY,28/09/2004,0.1
DXY,05/10/2004,-0.95
DXY,12/10/2004,-0.59
DXY,19/10/2004,-2.36
DXY,26/10/2004,0.27
DXY,02/11/2004,-1.3
DXY,09/11/2004,-0.11
DXY,16/11/2004,-0.96
DXY,23/11/2004,-1.51
DXY,30/11/2004,-0.79
DXY,07/12/2004,1.01
DXY,14/12/2004,-0.52
DXY,21/12/2004,-1.16
DXY,28/12/2004,0.72
DXY,04/01/2005,2.45
DXY,11/01/2005,-0.28
DXY,18/01/2005,0.22
DXY,25/01/2005,0.43
DXY,01/02/2005,1.72
DXY,08/02/2005,-1.27
DXY,15/02/2005,-0.49
DXY,22/02/2005,-1.24
DXY,01/03/2005,0.34
DXY,08/03/2005,-0.99
DXY,15/03/2005,1.11
DXY,22/03/2005,2.1
DXY,29/03/2005,0.19
DXY,05/04/2005,-0.73
DXY,12/04/2005,-0.19
DXY,19/04/2005,-0.21
DXY,26/04/2005,0.8
DXY,03/05/2005,0.18
DXY,10/05/2005,1.75
DXY,17/05/2005,0.33
DXY,24/05/2005,0.02
DXY,31/05/2005,1.37
DXY,07/06/2005,1.54
DXY,14/06/2005,-0.52
DXY,21/06/2005,-0.05
DXY,28/06/2005,2.24
DXY,05/07/2005,-1.07
DXY,12/07/2005,0.2
DXY,19/07/2005,-0.04
DXY,26/07/2005,-0.89
DXY,02/08/2005,-0.99
DXY,09/08/2005,-0.68
DXY,16/08/2005,0.94
DXY,23/08/2005,0.12
DXY,30/08/2005,-2.21
DXY,06/09/2005,1.63
DXY,13/09/2005,0.83
DXY,20/09/2005,0.76
DXY,27/09/2005,1.14
DXY,04/10/2005,-0.74
DXY,11/10/2005,0.38
DXY,18/10/2005,0.35
DXY,25/10/2005,-0.04
DXY,01/11/2005,1.35
DXY,08/11/2005,0.92
DXY,15/11/2005,-0.11
DXY,22/11/2005,-1.14
DXY,29/11/2005,0.55
DXY,06/12/2005,-1.24
DXY,13/12/2005,-0.53
DXY,20/12/2005,1.08
DXY,27/12/2005,0.36
DXY,03/01/2006,-2.11
DXY,10/01/2006,-0.4
DXY,17/01/2006,-1.06
DXY,24/01/2006,1.67
DXY,31/01/2006,0.97
DXY,07/02/2006,0.28
DXY,14/02/2006,0.11
DXY,21/02/2006,-0.01
DXY,28/02/2006,-0.82
DXY,07/03/2006,0.72
DXY,14/03/2006,-1.56
DXY,21/03/2006,1.05
DXY,28/03/2006,-0.49
DXY,04/04/2006,0.1
DXY,11/04/2006,-1.2
DXY,18/04/2006,-1.34
DXY,25/04/2006,-1.69
DXY,02/05/2006,-0.86
DXY,09/05/2006,-0.81
DXY,16/05/2006,-0.22
DXY,23/05/2006,1.08
DXY,30/05/2006,-1.31
DXY,06/06/2006,2.03
DXY,13/06/2006,0.54
DXY,20/06/2006,0.21
DXY,27/06/2006,-1.51
DXY,04/07/2006,0.38
DXY,11/07/2006,1.71
DXY,18/07/2006,-0.71
DXY,25/07/2006,-1.2
DXY,01/08/2006,-0.64
DXY,08/08/2006,1.05
DXY,15/08/2006,-1.18
DXY,22/08/2006,0.71
DXY,29/08/2006,-0.34
DXY,05/09/2006,1.15
DXY,12/09/2006,-0.13
DXY,19/09/2006,-0.61
DXY,26/09/2006,0.35
DXY,03/10/2006,1.09
DXY,10/10/2006,0.55
DXY,17/10/2006,-0.33
DXY,24/10/2006,-1.29
DXY,31/10/2006,0.19
DXY,07/11/2006,-0.45
DXY,14/11/2006,0.07
DXY,21/11/2006,-2.24
DXY,28/11/2006,-1.22
DXY,05/12/2006,0.76
DXY,12/12/2006,1.03
DXY,19/12/2006,-0.05
DXY,26/12/2006,-0.26
DXY,02/01/2007,1.05
DXY,09/01/2007,0.51
DXY,16/01/2007,-0.01
DXY,23/01/2007,0.09
DXY,30/01/2007,-0.02
