date,US10Y Percent Change
26/01/1987,-0.33898
02/02/1987,1.55896
09/02/1987,0.80938
16/02/1987,1.36351
23/02/1987,-0.77159
02/03/1987,-1.01844
09/03/1987,0.02781
16/03/1987,0.33361
23/03/1987,0
30/03/1987,1.52397
06/04/1987,3.22052
13/04/1987,3.27869
20/04/1987,4.35868
27/04/1987,2.20178
04/05/1987,0.21603
11/05/1987,1.77246
18/05/1987,1.67098
25/05/1987,2.60417
01/06/1987,-3.77891
08/06/1987,0.75029
15/06/1987,-1.69886
22/06/1987,-2.2017
29/06/1987,0.45994
06/07/1987,0.39157
13/07/1987,0.018
20/07/1987,0.64795
27/07/1987,1.97902
03/08/1987,1.26257
10/08/1987,0.8774
17/08/1987,-1.07576
24/08/1987,1.31883
31/08/1987,1.53003
07/09/1987,3.80117
14/09/1987,1.9935
21/09/1987,0.4249
28/09/1987,0.12693
05/10/1987,1.88041
12/10/1987,1.69535
19/10/1987,3.16594
26/10/1987,-10.16011
02/11/1987,-1.69417
09/11/1987,-1.47717
16/11/1987,0.09655
23/11/1987,0.15319
30/11/1987,1.88647
07/12/1987,0.01668
14/12/1987,2.02357
21/12/1987,-2.1578
28/12/1987,-1.06371
04/01/1988,-0.67549
11/01/1988,0.47039
18/01/1988,-0.5528
25/01/1988,-3.05162
01/02/1988,-2.24667
08/02/1988,-1.98707
15/02/1988,-0.12824
22/02/1988,1.2779
29/02/1988,-1.18329
07/03/1988,0.14663
14/03/1988,1.46413
21/03/1988,0.6253
28/03/1988,1.55354
04/04/1988,1.14145
11/04/1988,0.0349
18/04/1988,0.8374
25/04/1988,1.54556
02/05/1988,0.56792
09/05/1988,1.08426
16/05/1988,0.93855
23/05/1988,1.70467
30/05/1988,0.32107
06/06/1988,-1.83889
13/06/1988,-1.12732
20/06/1988,-0.89425
27/06/1988,0.60907
04/07/1988,-0.95291
11/07/1988,1.279
18/07/1988,1.81046
25/07/1988,0
01/08/1988,0.06586
08/08/1988,-0.68012
15/08/1988,2.89375
22/08/1988,0.47231
29/08/1988,-0.10684
05/09/1988,-1.68449
12/09/1988,-2.37694
19/09/1988,-0.53488
26/09/1988,0.42572
03/10/1988,-0.06693
10/10/1988,-1.4568
17/10/1988,-0.24356
24/10/1988,0.04542
31/10/1988,-0.83995
07/11/1988,0.41209
14/11/1988,1.54469
21/11/1988,1.19562
28/11/1988,1.23142
05/12/1988,-0.25205
12/12/1988,-0.85695
19/12/1988,1.61791
26/12/1988,-1.11778
02/01/1989,1.07527
09/01/1989,0.81833
16/01/1989,-0.75758
23/01/1989,-1.67939
30/01/1989,-0.48802
06/02/1989,0.31208
13/02/1989,0.95556
20/02/1989,1.41977
27/02/1989,1.16115
06/03/1989,-0.10727
13/03/1989,-0.30069
20/03/1989,1.14175
27/03/1989,0.7721
03/04/1989,-1.46367
10/04/1989,-1.1583
17/04/1989,0.43403
24/04/1989,-1.38289
01/05/1989,-0.43821
08/05/1989,-0.46215
15/05/1989,-0.42008
22/05/1989,-2.99734
29/05/1989,-1.12154
05/06/1989,-1.2963
12/06/1989,-3.35366
19/06/1989,0.70371
26/06/1989,-0.0241
03/07/1989,-2.1692
10/07/1989,-0.83764
17/07/1989,-0.39752
24/07/1989,0.64854
31/07/1989,-1.7596
07/08/1989,-0.78204
14/08/1989,2.72057
21/08/1989,1.13861
28/08/1989,0.88106
04/09/1989,-0.0182
11/09/1989,-1.00091
18/09/1989,-0.41667
25/09/1989,0.86143
02/10/1989,1.24451
09/10/1989,-1.69318
16/10/1989,-1.95526
23/10/1989,-0.30008
30/10/1989,-1.00326
06/11/1989,0.48138
13/11/1989,-0.45386
20/11/1989,-0.58257
27/11/1989,-0.28662
04/12/1989,0.18524
11/12/1989,-0.0255
18/12/1989,-0.45918
25/12/1989,-0.24346
01/01/1990,1.89467
08/01/1990,0.64923
15/01/1990,0.79534
22/01/1990,2.49146
29/01/1990,1.96411
05/02/1990,0.80856
12/02/1990,-0.2359
19/02/1990,-0.80397
26/02/1990,1.95471
05/03/1990,-0.16367
12/03/1990,0.74941
19/03/1990,0.4649
26/03/1990,-1.31883
02/04/1990,0.65651
