date,DXY Return (%),US10Y Percent Change
26/02/2008,-2.42,1.47
04/03/2008,-0.96,-5.29
11/03/2008,-2.1,-1.75
18/03/2008,2.09,-3.51
25/03/2008,-1.58,-0.42
01/04/2008,0.56,1.87
08/04/2008,-0.44,1.71
15/04/2008,-0.32,-1.12
22/04/2008,1.59,6.06
29/04/2008,0.55,2.83
06/05/2008,-0.33,-0.05
13/05/2008,0.12,-0.73
20/05/2008,-1.57,0.52
27/05/2008,1.45,0.92
03/06/2008,-0.11,3.52
10/06/2008,1.04,0.20
17/06/2008,-0.24,4.82
24/06/2008,-1.32,-1.19
01/07/2008,0.29,-3.12
08/07/2008,-1.03,-1.88
15/07/2008,0.1,-1.97
22/07/2008,0.92,5.00
29/07/2008,1.11,0.44
05/08/2008,3.63,-2.05
12/08/2008,1.3,-1.15
19/08/2008,-0.43,-2.52
26/08/2008,1.11,-1.24
02/09/2008,2.51,-0.88
09/09/2008,-0.85,-3.29
16/09/2008,-3.5,-1.69
23/09/2008,1.73,2.39
30/09/2008,5.43,3.15
07/10/2008,0.24,-5.00
14/10/2008,1.49,7.61
21/10/2008,4.61,1.38
28/10/2008,-0.67,-4.88
04/11/2008,-0.51,5.29
11/11/2008,1.05,-4.05
18/11/2008,-0.84,-2.08
25/11/2008,0.74,-12.85
02/12/2008,-1.34,-12.33
09/12/2008,-3.85,-5.80
16/12/2008,-1.43,-3.75
23/12/2008,-0.51,-16.21
30/12/2008,2.43,0.00
06/01/2009,0.46,12.91
13/01/2009,2.05,-0.39
20/01/2009,0.01,-4.57
27/01/2009,1.58,13.72
03/02/2009,-1.49,7.47
10/02/2009,2.21,5.82
17/02/2009,0.67,-7.34
24/02/2009,1.95,0.90
03/03/2009,0.08,6.02
10/03/2009,-2.31,-1.62
17/03/2009,-4.05,1.17
24/03/2009,2.92,-10.80
31/03/2009,-1.51,5.03
07/04/2009,0.08,3.26
14/04/2009,2.36,0.95
21/04/2009,-1.08,0.73
28/04/2009,-2.02,3.38
05/05/2009,-1.54,6.08
12/05/2009,-0.01,1.39
19/05/2009,-3.28,-1.74
26/05/2009,-0.99,6.59
02/06/2009,2.2,7.99
09/06/2009,0.28,3.73
16/06/2009,-0.44,1.11
23/06/2009,-1.16,-2.09
30/06/2009,0.76,-4.65
07/07/2009,-0.4,-1.50
14/07/2009,-1.52,-3.37
21/07/2009,-0.35,6.07
28/07/2009,-1.26,2.61
04/08/2009,2.09,-1.25
11/08/2009,0.04,4.11
18/08/2009,-1.29,-6.00
25/08/2009,-0.13,-2.75
01/09/2009,-0.19,-1.21
08/09/2009,-1.69,-1.31
15/09/2009,0.1,0.86
22/09/2009,0.35,1.58
29/09/2009,-0.53,-3.11
06/10/2009,-0.67,-3.15
13/10/2009,-0.81,1.57
20/10/2009,0.73,3.66
