date,Open,High,Low,Close,Percentage Return
16/02/1993,94.440002,94.449997,92.629997,92.650002,-1.83
23/02/1993,92.68,94.400002,92.43,94.18,1.65
02/03/1993,93.480003,94.489998,92.900002,94.019997,-0.17
09/03/1993,93.959999,94.800003,93.839996,94.510002,0.52
16/03/1993,94.410004,94.559998,92.540001,92.919998,-1.68
23/03/1993,92.889999,93.580002,92.550003,92.779999,-0.15
30/03/1993,92.760002,93.080002,90.779999,91.209999,-1.69
06/04/1993,91.209999,92.099998,90.559998,90.669998,-0.59
13/04/1993,90.669998,91.389999,89.839996,90.349998,-0.35
20/04/1993,90.419998,90.739998,88.370003,88.510002,-2.04
27/04/1993,88.660004,90.010002,88.459999,89.32,0.92
04/05/1993,89.360001,90.550003,88.529999,90.519997,1.34
11/05/1993,90.489998,91,90.099998,90.639999,0.13
18/05/1993,90.650002,91.379997,90.150002,91.040001,0.44
25/05/1993,91.040001,91.139999,88.889999,89.080002,-2.15
01/06/1993,89.099998,90.839996,88.849998,90.419998,1.50
08/06/1993,90.400002,91.059998,90.010002,90.300003,-0.13
15/06/1993,90.279999,93.720001,90.110001,93.360001,3.39
22/06/1993,92.919998,94.150002,92.919998,93.410004,0.05
29/06/1993,93.370003,94.110001,92.660004,93.480003,0.07
06/07/1993,93.550003,95.610001,93.370003,95.260002,1.90
13/07/1993,95.230003,95.379997,94.110001,94.220001,-1.09
20/07/1993,94.190002,94.980003,93.75,94.760002,0.57
27/07/1993,94.75,95.800003,94.300003,94.629997,-0.14
03/08/1993,94.580002,94.849998,94.059998,94.379997,-0.26
10/08/1993,94.410004,95.639999,93.82,93.940002,-0.47
17/08/1993,93.989998,94.370003,93.120003,93.68,-0.28
24/08/1993,93.68,94.389999,93.209999,93.620003,-0.06
31/08/1993,93.660004,94.150002,92.050003,92.080002,-1.64
07/09/1993,91.599998,91.970001,90.660004,91.18,-0.98
14/09/1993,91.059998,91.730003,90.290001,91.400002,0.24
21/09/1993,91.389999,93.32,91.209999,92.25,0.93
28/09/1993,92.32,93.349998,91.589996,92.349998,0.11
05/10/1993,92.360001,92.610001,91.43,91.709999,-0.69
12/10/1993,91.720001,93.470001,91.209999,93.360001,1.80
19/10/1993,93.370003,94.870003,93.160004,94.809998,1.55
26/10/1993,94.839996,95.470001,94.279999,95.279999,0.50
02/11/1993,95.339996,95.540001,94.440002,94.599998,-0.71
09/11/1993,94.610001,95.360001,94.410004,94.949997,0.37
16/11/1993,95,96.199997,94.889999,95.779999,0.87
23/11/1993,95.760002,96.279999,95.349998,95.949997,0.18
30/11/1993,95.919998,96.529999,94.940002,94.980003,-1.01
07/12/1993,94.970001,95.559998,94.879997,95.510002,0.56
14/12/1993,95.510002,96.099998,95.400002,95.730003,0.23
21/12/1993,95.739998,95.779999,94.669998,95.239998,-0.51
28/12/1993,95.269997,97.019997,95.059998,96.970001,1.82
04/01/1994,96.980003,97.089996,95.949997,96.43,-0.56
